OBJECTID,ADDRTYPE,LOCATION,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,HITPARKEDCAR
218454,Intersection,RENTON AVE S AND S CLOVERDALE ST,2,Injury Collision,Angles,2,0,0,2,1,0,0,2020/09/13 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218455,Intersection,3RD AVE NW AND NW 77TH ST,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2020/07/13 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218456,Block,5TH AVE BETWEEN PINE ST AND OLIVE WAY,1,Property Damage Only Collision,Left Turn,3,0,0,2,0,0,0,2020/06/25 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218457,Block,S JACKSON ST BETWEEN 12TH AVE S AND 14TH AVE S,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2020/09/10 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218458,Intersection,M L KING JR WAY AND E CHERRY ST,0,Unknown,NA,0,0,0,0,0,0,0,2020/08/07 00:00:00+00,NA,NA,NA,NA,NA,Y
218459,Block,REPUBLICAN ST BETWEEN MINOR AVE N AND PONTIUS AVE N,0,Unknown,NA,2,0,0,0,0,0,0,2020/08/22 00:00:00+00,NA,NA,NA,NA,NA,Y
218460,Intersection,ROOSEVELT WAY NE AND NE 78TH ST,1,Property Damage Only Collision,Angles,4,0,0,2,0,0,0,2020/01/18 00:00:00+00,N,Raining,Wet,Daylight,NA,N
218461,Block,WEST MARGINAL WAY SW BETWEEN WEST MARGINAL TURN RD AND MARGINAL PL SW,1,Property Damage Only Collision,NA,2,0,0,0,0,0,0,2020/08/18 00:00:00+00,NA,NA,NA,NA,NA,N
218462,Block,66TH AVE S BETWEEN S HAZEL ST AND S FOUNTAIN PL,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020/09/10 00:00:00+00,N,Clear,Dry,Dark - Street Lights On,NA,Y
218463,Block,RAINIER AVE S BETWEEN S FISHER PL AND 51ST AVE S,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020/07/24 00:00:00+00,N,Clear,Dry,Dusk,NA,N
218465,Block,RAINIER AVE S BETWEEN S THISTLE ST AND S CLOVERDALE ST,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2020/06/29 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218466,Intersection,MERIDIAN AVE N AND N 130TH ST,2,Injury Collision,Left Turn,4,0,0,2,1,0,0,2020/01/21 00:00:00+00,N,Overcast,Wet,Daylight,NA,N
218467,Block,JAMES ST BETWEEN TERRY AVE AND BOREN AVE,1,Property Damage Only Collision,NA,2,0,0,0,0,0,0,2020/08/15 00:00:00+00,NA,NA,NA,NA,NA,N
218468,Alley,NA,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020/08/29 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218469,Intersection,41ST AVE SW AND SW ADMIRAL WAY,1,Property Damage Only Collision,Left Turn,3,0,0,2,0,0,0,2020/07/25 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218470,Block,SW SPOKANE NR ST BETWEEN CHELAN AVE SW AND SW ADMIRAL NR WAY,1,Property Damage Only Collision,NA,2,0,0,0,0,0,0,2020/06/26 00:00:00+00,NA,NA,NA,NA,NA,N
218471,Block,12TH AVE NW BETWEEN NW 92ND ST AND HOLMAN RD NW,1,Property Damage Only Collision,NA,2,0,0,0,0,0,0,2020/07/06 00:00:00+00,NA,NA,NA,NA,NA,N
218472,Block,LATONA AVE NE BETWEEN NE 64TH ST AND NE 65TH E ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020/07/05 00:00:00+00,N,Other,Unknown,Unknown,NA,Y
218473,Block,RAINIER AVE S BETWEEN S FONTANELLE ST AND S AUSTIN ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020/07/07 00:00:00+00,N,Other,Unknown,Daylight,NA,N
218474,Block,CARKEEK DR S BETWEEN 41ST AVE S AND 40TH AVE S,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020/07/17 00:00:00+00,N,Clear,Wet,NA,NA,N
218475,Intersection,M L KING JR WR WAY S AND S DELLA ST,2,Injury Collision,Angles,2,0,0,2,2,0,0,2020/09/14 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218476,Block,STONE WAY N BETWEEN N 47TH ST AND N 48TH ST,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,2020/09/11 00:00:00+00,N,Fog/Smog/Smoke,Dry,Daylight,NA,Y
218477,Block,15TH AVE S BETWEEN GOLF DR S AND S ATLANTIC ST,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020/07/24 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218478,Block,35TH AVE SW BETWEEN SW KENYON ST AND SW MONROE ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020/07/14 00:00:00+00,N,Clear,Dry,Daylight,NA,Y
218479,Block,N 137TH ST BETWEEN STONE AVE N AND INTERLAKE AVE N,0,Unknown,NA,2,0,0,0,0,0,0,2020/08/26 00:00:00+00,NA,NA,NA,NA,NA,N
218480,Intersection,BOREN AVE AND E YESLER WAY,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020/06/16 00:00:00+00,N,Clear,Dry,Dark - Street Lights On,NA,N
218481,Intersection,WESTLAKE AVE N AND VALLEY ST,1,Property Damage Only Collision,Sideswipe,3,0,0,2,0,0,0,2020/07/31 00:00:00+00,N,Clear,Dry,Daylight,NA,N
